commit_hash	MSE	gpu_mem_gb	status	description
993f65b	N/A	0.0	crash	Add uv project setup and fix NumPy 2.0 compatibility
dc2269f	0.199784	19.19	ok	Setup auto-research loop infrastructure
e7939ea	0.114277	19.19	ok	Add trend decomposition: DLinearForecast separates trend, encoder handles residual
ee3e14a	0.115549	19.19	ok	Test non-strict causal mask: allow same-time-patch cross-variate attention
f415009	N/A	0.0	crash	Head specialization: per-head log-spaced attention windows (venv not activated)
f415009	0.113367	19.22	ok	Head specialization: per-head log-spaced attention windows [1..20] for lag diversity
698831e	0.109381	19.28	ok	Increase d_model 32→128 for richer feature extraction; restore venv activation
fd7094b	0.109608	19.28	ok	d_model 256 (no improvement, exhausted sweep)
8743ef1	0.109743	19.28	ok	Normalize Q/K patches before attention: shape-correlation
a152fb0	0.118029	0.0	ok	Add second stack: n_stacks=2 (only 1 epoch, too slow)
ff4635c	0.106594	3.10	ok	stride 6->16: reduce tokens for more epochs
dcbb151	0.098495	3.10	ok	train_epochs 3->7: fill 600s budget (MSE best at epoch 6)
ac19216	0.098536	3.10	ok	train_epochs 7->10: no improvement (same early-stop at epoch 7)
0c74523	0.106565	3.10	ok	FFT spectral Q/K attention (slower, worse)
3930551	0.103889	3.13	ok	Stage3 TCN dilations (1,2,4): wider receptive field before patch extraction
7e80155	0.096077	3.10	ok	Reduce e_layers 3→2: fewer attention layers for faster epochs and more training rounds
9a30d72	0.096845	3.10	ok	Try e_layers=1: single attention layer for even faster epochs (~15+ in 600s)
6551fb4	0.096807	3.10	ok	Add learnable relative position bias in SignedAttention (10 params per layer)
a5be3d1	0.097497	3.10	ok	Reduce dropout 0.1→0.05: less regularization for faster convergence in budget
f67659e	0.097330	3.10	ok	ConvFFN expand 2→4: wider FFN for richer per-token feature transformation
4c2b574	0.097253	3.10	ok	Use last-value persistence padding instead of zeros for future residual tokens
b8630d4	0.098112	3.10	ok	Add 2-level Haar wavelet transform to patch tokens for multi-scale representation
71ee5ee	0.095509	3.10	ok	Two-level DLinear: slow trend (k=25) + fast trend (k=5) before encoder
b8907e1	0.099258	3.10	ok	Two-level DLinear k=97+k=25: very slow trend + medium trend before encoder
b8907e1	0.115294	2.29	ok	Two-level DLinear k=97+k=25: very slow trend + medium trend before encoder
ce2d687	0.109471	3.10	ok	Two-level DLinear k=25+k=9: medium-fast trend decomposition before encoder
4be440a	0.114131	3.10	ok	batch_size 32→64: halve epoch steps (no speedup, only 3 epochs)
298adf7	0.112509	3.10	ok	Learnable variate embeddings in TimeEmbedding (84s/epoch, only 7 epochs)
428fe46	0.106093	2.29	ok	Diagonal Q/K feature scaling: learnable per-dim weights for attention (32 params/layer, zero extra matmul)
428fe46	0.106093	3.10	ok	Diagonal Q/K feature scaling: elementwise per-dim weight (4 epochs due to GPU contention)
428fe46	0.107405	2.29	ok	Diagonal Q/K feature scaling: learnable per-dim weights for attention (32 params/layer, zero extra matmul)
a8cc75c	0.136418	3.57	ok	Patch ordering cleanup + tail patch to preserve last datapoints
-e 440fc9f	N/A	0.0	crash	Fourier residual model architecture update
-e 4b4b035	N/A	0.0	crash	Add keep_ratio usage to PEMS_dataset for feature filtering
-e 4b4b035	N/A	0.0	crash	Add keep_ratio usage to PEMS_dataset for feature filtering
-e 4b4b035	N/A	0.0	crash	Add keep_ratio usage to PEMS_dataset for feature filtering
-e 4b4b035	N/A	0.0	crash	Add keep_ratio usage to PEMS_dataset for feature filtering
-e 43a6159	N/A	0.0	crash	Remove hardcoded PEMS/Solar marks filtering in experiment
-e 43a6159	N/A	0.0	crash	Remove hardcoded PEMS/Solar marks filtering in experiment
-e 26dcc37	N/A	0.0	crash	Fix x_mark_enc None issue for PEMS dataset
-e 26dcc37	N/A	0.0	crash	Fix x_mark_enc None issue for PEMS dataset
-e 26dcc37	N/A	0.0	crash	Fix x_mark_enc None issue for PEMS dataset
-e 26dcc37	N/A	0.0	crash	Fix x_mark_enc None issue for PEMS dataset
37f4fe9	0.432007	1.17	ok	Add overlap-add fold backcast residual to Stack
4a73778	0.110545	0.74	ok	Add baseline iTransformer script for seq_len 96, horizon 12, keep_ratio 0.1
4a73778	0.388974	0.43	ok	Add baseline iTransformer script for seq_len 96, horizon 12, keep_ratio 0.1
